var,size,age,dic_med,dic_lcl,dic_ucl,beta_med,beta_lcl,beta_ucl,beta_size,beta_size_lcl,beta_size_ucl,beta_age_med,beta_age_lcl,beta_age_ucl
mean.temp.ground.min,mass,no,745.564655304609,693.833800084979,803.057232818023,0.0246862852201819,-0.0253381954052494,0.0736661788894907,0.00223748067929893,-0.0146121851613289,0.0193758148627141,0,0,0
mean.temp.max,mass,no,742.966552194817,691.432563427888,800.991033799511,0.0368061020045362,-0.00386183380984965,0.0775517193745423,0.00261222014691267,-0.0148998014138744,0.0196450953705247,0,0,0
mean.temp.min,mass,no,745.399827680282,694.207641648645,801.934265935866,0.0333922300438297,-0.017967214773007,0.0841187816328813,0.00257574211036583,-0.0137487275110761,0.0200034830215676,0,0,0
total.precip,mass,no,746.621432974773,695.49763854281,802.362614836704,0.00614423379651147,-0.00756762098361588,0.0210748724552427,0.00232098352618419,-0.0140725922352565,0.0186677398306876,0,0,0
day.below.zero.ground,none,no,745.348653211571,695.545240296248,802.923528894787,0.011985519999861,-0.0501459861489729,0.0737071954334117,0,0,0,0,0,0
day.snow.cover0,none,no,740.99678909563,691.384748025283,797.59108325129,-0.118620499429982,-0.180120194439716,-0.0577295519518677,0,0,0,0,0,0
day.snow.cover3,none,no,737.9108501581,686.822324987229,793.726541160112,-0.216704584905082,-0.299846448982181,-0.135392068565972,0,0,0,0,0,0
day.snow.cover5,none,no,739.301801948384,687.609516764146,795.842121902836,-0.268889542216219,-0.375387361784855,-0.165454899536807,0,0,0,0,0,0
mean.precip,none,no,746.913676333882,697.104049820045,803.377822174078,0.0824916571174695,-0.112546186591217,0.290404674230389,0,0,0,0,0,0
mean.snow.cover,none,no,738.349656465792,688.96833698256,795.389046480764,-0.266214213841234,-0.369787422264783,-0.16332465853036,0,0,0,0,0,0
mean.temp,none,no,743.852963174464,691.734762436156,799.858330050541,0.0347506135760475,-0.0130966705133531,0.0799530670606197,0,0,0,0,0,0
mean.temp.ground.min,none,no,744.65832039953,692.172382002751,801.527338877052,0.0261991548866456,-0.0260066613116522,0.0760879759597703,0,0,0,0,0,0
mean.temp.max,none,no,743.499663480557,691.380101295628,800.944251320769,0.0366688823547397,-0.00587335831293367,0.0786662530674756,0,0,0,0,0,0
mean.temp.min,none,no,745.357734449807,694.31859537501,802.405775024538,0.0344112353732291,-0.0201695048414687,0.0861304928467466,0,0,0,0,0,0
total.precip,none,no,744.851370879642,694.234729347836,802.317723376354,0.00653970296575637,-0.00787478903634975,0.0214290018805044,0,0,0,0,0,0
