var,feeding,size,age,dic_med,dic_lcl,dic_ucl,beta_med,beta_lcl,beta_ucl,beta_size,beta_size_lcl,beta_size_ucl,beta_age_med,beta_age_lcl,beta_age_ucl,beta_feed,beta_feed_lcl,beta_feed_ucl,DIC
mean.temp.ground.min,yes,mass,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
mean.temp.max,yes,mass,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
mean.temp.min,yes,mass,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
total.precip,yes,mass,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
day.below.zero.ground,no,mass,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
day.snow.cover0,no,mass,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
day.snow.cover3,no,mass,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
day.snow.cover5,no,mass,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
mean.precip,no,mass,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
mean.snow.cover,no,mass,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
mean.temp,no,mass,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
mean.temp.ground.min,no,mass,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
mean.temp.max,no,mass,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
mean.temp.min,no,mass,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
total.precip,no,mass,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
mean.precip,yes,none,no,1151.58460604692,1080.38337993781,1228.2121317976,-0.0495561865672999,-0.183495252802668,-0.0019561092101605,0,0,0,0,0,0,0.739115389779721,0.2693179234496,1.23993751480243,1151.58460604692
mean.temp,yes,none,no,1152.03995952525,1083.61131752848,1225.13501488497,-0.0479282670142151,-0.209532571063415,-0.00167056327665001,0,0,0,0,0,0,0.749219859366352,0.27251495175996,1.24509980321969,1152.03995952525
mean.temp.max,yes,none,no,1152.0706855524,1084.3979784167,1228.09472364845,-0.0501538709565959,-0.22039082598602,-0.00187804921018904,0,0,0,0,0,0,0.745959101624394,0.27998788901806,1.24800240492384,1152.0706855524
total.precip,yes,none,no,1152.23614951338,1082.90566032384,1225.75191572023,-0.0496079333170839,-0.187423253916572,-0.00193198652215146,0,0,0,0,0,0,0.742497042808604,0.274430793221196,1.26662214986668,1152.23614951338
mean.temp,no,none,no,1153.63615388925,1086.33698756629,1230.57596312184,-0.0479036256416697,-0.208391575225532,-0.00176113179106018,0,0,0,0,0,0,0,0,0,1153.63615388925
mean.temp.min,yes,none,no,1154.29607661418,1084.31953503172,1229.40095076923,-0.0437320369512159,-0.192071242555457,-0.00164670159777299,0,0,0,0,0,0,0.737141758335144,0.254591015073775,1.22254740429058,1154.29607661418
mean.precip,no,none,no,1154.89234468955,1085.55672854185,1227.98017806426,-0.0493268956543272,-0.18187035430827,-0.00227073631461053,0,0,0,0,0,0,0,0,0,1154.89234468955
mean.temp.max,no,none,no,1155.15099208961,1085.9801882832,1231.74324850634,-0.0507203280634854,-0.214945209781871,-0.0019667240765418,0,0,0,0,0,0,0,0,0,1155.15099208961
total.precip,no,none,no,1155.23799997244,1085.5984495385,1230.5718021267,-0.0485921418564148,-0.17583350632824,-0.00197160139390652,0,0,0,0,0,0,0,0,0,1155.23799997244
mean.temp.min,no,none,no,1155.46736508047,1087.16592349982,1231.72382066106,-0.0419908896004717,-0.185778538140889,-0.00177179201178696,0,0,0,0,0,0,0,0,0,1155.46736508047
mean.temp.ground.min,yes,none,no,1156.28930173544,1087.28694316244,1230.80335083179,-0.0385353488165522,-0.1743252208155,-0.00162401369843029,0,0,0,0,0,0,0.746962940006068,0.26040181232764,1.24612920809139,1156.28930173544
day.below.zero.ground,no,none,no,1158.09708208784,1087.40428248756,1238.4550605102,-0.151466979439053,-0.416599708228973,-0.0082213325862226,0,0,0,0,0,0,0,0,0,1158.09708208784
mean.temp.ground.min,no,none,no,1159.26677922001,1090.36918329934,1236.58924839036,-0.0406300984665599,-0.169866922435751,-0.00170286294633555,0,0,0,0,0,0,0,0,0,1159.26677922001
mean.snow.cover,yes,none,no,1163.9212465616,1094.46905663485,1236.55223335696,-0.564475044036267,-0.764978913311812,-0.365339680022188,0,0,0,0,0,0,0.754694098564517,0.278056869096639,1.26827270346116,1163.9212465616
mean.snow.cover,no,none,no,1165.91692379471,1096.00593270152,1242.08189738921,-0.568435797958336,-0.757818023887141,-0.37002312664289,0,0,0,0,0,0,0,0,0,1165.91692379471
day.snow.cover3,no,none,no,1166.57964412009,1096.95295500585,1244.47511842258,-0.585536008288451,-0.787162617627807,-0.385924390508079,0,0,0,0,0,0,0,0,0,1166.57964412009
day.snow.cover5,no,none,no,1167.08738962829,1097.8991991768,1240.68937878278,-0.585817926045601,-0.791190298537798,-0.382622338683959,0,0,0,0,0,0,0,0,0,1167.08738962829
day.snow.cover0,no,none,no,1168.27771096413,1099.66024755595,1242.83036513891,-0.478199905541291,-0.700815299543004,-0.253657840205686,0,0,0,0,0,0,0,0,0,1168.27771096413
